Question,Op1,Op2,Op2,Answer,Difficuly Level
Pracujesz na stanowisku juniora w firmie oferującej usługi i doradztwo IT. Twój dział miał sfinalizować nową umowę ale na końcu coś poszło nie tak. Co teraz?,Ty lub ktoś inny popełnia kosztowny błąd w pracy. Ale masz pewność że menedżer przejrzy i omówi błąd z tobą czy innym pracownikiem który go popełnił: celem jest zrozumienie co poszło nie tak i nauczenie się jak wspólnie rozwiązać problem.,To poważny błąd ale firma się przecież nie zawali. Każdy popełnia błędy to się po prostu zdarza.,Przez twój błąd firma straci pieniądze. Na pewno otrzymasz formalne ostrzeżenie. Każdy popełnia błędy i ponosi tego konsekwencje. Trzeba wziąć odpowiedzialność za siebie.,0,2
Jesteś konsultantem technicznym jeszcze niezbyt doświadczonym. Mimo że stale rozmawiasz z klientami firmy to nigdy nie pracujesz samodzielnie. Co się stanie jeśli nikogo nie będzie w pobliżu?,Stały klient prosi o rabat. Ale jesteś juniorem i nikogo innego nie ma w pobliżu. Twój klient może pójść do konkurencji. Wiesz że młodsi pracownicy powinni się rozwijać i brać odpowiedzialność. Dzięki temu szybko zatwierdzasz zniżkę i przekazujesz informację swoim menedżerom mając pewność że docenią twoją rosnącą niezależność w firmie.,Stały klient prosi o rabat. Ale jesteś juniorem i nikogo innego nie ma w pobliżu. Twój klient może pójść do konkurencji. W stresie zatwierdzasz zniżkę aby wygrać z konkurencją. Klient jest zadowolony a ty masz tylko nadzieję że twoi menedżerowie nie będą na Ciebie źli.,Stały klient Twojej firmy prosi o rabat. Ale jesteś juniorem i nikogo innego nie ma w pobliżu. Twój klient może pójść do konkurencji. Odkładasz sprawę do czasu powrotu menedżera nie możesz podejmować takiej decyzji.,0,1
Pracujesz od zakończenia studiów licencjackich a nawet nieco wczesniej od matury. Cieszysz się zdobytą niezależnością i masz pewność że rozwijasz się praktykując w branży. Niemniej jednak ...,Masz bardzo dobrą pracę którą lubisz. Ale wciąż myślisz o tym żeby skończyć studia magisterskie. Nie masz dość pieniędzy ani wolnego czasu. Myślisz że kluczem jest znalezienie równowagi: zdajesz sobie sprawę że w dzisiejszych czasach istnieje wiele możliwości edukacyjnych zarówno stacjonarnie jak i online. Zanim zainwestujesz pieniądze i poświęcisz wszystko czemu oddajesz się po pracy zastanów się jaki jest dla Ciebie najlepszy model edukacyjny.,Masz bardzo dobrą pracę którą lubisz. Ale wciąż myślisz o tym żeby skończyć studia magisterskie. Nie masz dość pieniędzy ani wolnego czasu. Decydujesz się poświęcić czas który masz na hobby i kontakty z przyjaciółmi i rodziną. W końcu to twoje pieniądze i możesz je wydać jak chcesz. Naprawdę chcesz inwestować w siebie i swoje kompetencje.,Masz bardzo dobrą pracę którą lubisz. Ale wciąż myślisz o tym żeby skończyć studia magisterskie. Nie masz dość pieniędzy. Po pracy padasz z nóg i wolisz spędzać wolny czas robiąc to co lubisz najbardziej. Zapominasz na razie o szkole.,0,2
Dział HR twojej firmy stale zajmuje się wewnętrznym monitoringiem i ocenami okresowymi. Grudzień to czas ocen pracowniczych i ewentualnych bonusów. Ale wiesz że jest to głęboko powiązane z wydajnością każdego pracownika...,Masz świadomość że nadchodzą nagrody pracownicze i formalne wyróżnienia. Obawiasz się że przyniesie to efekt przeciwny do zamierzonego: po prostu zdemoralizuje nienagrodzonych pracowników.,Masz świadomość że nadchodzą nagrody pracownicze i formalne wyróżnienia. To świetnie: takie rzeczy powinny być ogłaszane publicznie. Zmotywuje to tych którzy nie dostaną uznania i premii.,Masz świadomość że nadchodzą nagrody pracownicze i formalne wyróżnienia. To świetnie: ale tylko raz na kwartał ewentualnie raz na rok. Wspaniale jest przeglądać wyniki pracowników oraz identyfikować i nagradzać tych którzy pracowali najlepiej. Ale ich nazwiska nie będą ujawniane w firmie - nie ma potrzeby tworzenia rywalizacji o nagrody.,0,2
Twoja firma oferuje usługi w zakresie rozwoju usług cyfrowych i IT. Firma ma kilka oddziałów ale nie jest tak naprawdę „duża”. Kiedy rozmawiasz z potencjalnym klientem o specyficznych zapotrzebowaniach i mówisz o innowacjach i nowych praktykach czujesz niepokój.,Myślisz że nadszedł czas aby poszukać innowacyjnych praktyk i procesów dla Twojej firmy. Postanawiasz więc zapytać o to konsultantów - nawet zewnętrznych - ponieważ w tym się specjalizują.,Myślisz że nadszedł czas aby poszukać innowacyjnych praktyk i procesów dla twojej firmy. Zaczynasz monitorować klientów i zbierać ich opinie: w końcu to ich odczucia są najważniejsze.,Myślisz że nadszedł czas aby poszukać innowacyjnych praktyk i procesów dla twojej firmy. Proponujesz zorganizowanie spotkań personelu w celu zebrania opinii i przemyśleń pracowników.,0,2
Twoja firma nie jest mała ale nie jest też duża i działa na konkurencyjnym rynku. Ty i twój PM uważacie że wszyscy powinni myśleć nad opracowywaniem nowych narzędzi skutecznych strategii innowacyjnych usług. Więc ...,Twoja firma musi być na bieżąco analizując działania konkurencji. Jesteś na bieżąco dzięki pracownikom których zadaniem jest właśnie wyszukiwanie i badanie rozwiązań w zakresie innowacyjności i konkurencyjności. To specyficzne zadanie i wymaga określonych kompetencji. To powszechna praktyka w twojej firmie.,Twoja firma musi być na bieżąco analizując działania konkurencji. Jesteś na bieżąco bo cały czas poszukujesz informacji. W końcu innowacyjność i konkurencyjność to coś co każdy pracownik musi sam pielęgnować.,Twoja firma musi być na bieżąco analizując działania konkurencji. W tym celu kilku pracowników co jakiś czas sprawdza co nowego u konkurencji. Uważasz że to dobry sposób na sprawdzenie innowacyjnych praktyk i do tego nie wymagający dodatkowych nakładów.,0,2
Twój typowy dzień: pracujesz na pozycji juniorskiej ale masz dobrze rozwiniętą sieć lokalnych kontaktów. Kontaktujesz więc swoich managerów z nowymi potencjalnymi klientami. Co się potem dzieje?,Dzięki swoim prywatnym kontaktom sprowadziłeś do swojej firmy potencjalnego klienta. Uważasz że musisz wziąć udział w pierwszym spotkaniu o ile tylko twoje kompetencje będą przydatne. To nie ma nic wspólnego z grzecznością.,Dzięki swoim prywatnym kontaktom sprowadziłeś do firmy potencjalnego klienta. Nawet jeśli kontakt jest twój uważasz że w pierwszym spotkaniu powinni uczestniczyc bardziej doświadczeni pracownicy a nie ty.,Dzięki swoim prywatnym kontaktom sprowadziłeś do firmy potencjalnego klienta. Uważasz że powinieneś wziąć udział w pierwszym spotkaniu pomimo że jesteś juniorem. Uprzejmość tego wymaga.,0,2
Pracujesz samodzielnie czy w zespole? Czasami czujesz że samodzielnie wykonujesz zadania szybciej. Bywa naprawdę trudno ponieważ w dziale brakuje pracowników. Co się stanie gdy pojawi się nowe zadanie?,Zbliża się coś nowego: nowy projekt produkt usługa. Uważasz że zespół powinien składać się z… czterech osób bo wtedy możliwy jest równy podział zadań w zgodzie ze specyficznymi kompetencjami każdego z pracowników.,Zbliża się coś nowego: nowy projekt produkt usługa. Uważasz że zespół powinien składać się z… nawet dziesięiu osób lub więcej. Z cotygodniowymi spotkaniami kontrolnymi które mogą obejmować całą firmę. Każdy powinien być świadomy tego co się dzieje w firmie nawet w innych jednostkach.,Zbliża się coś nowego: nowy projekt produkt usługa. Myślisz że zespół powinien składać się z… tylko jednej osoby. Lepiej przydzielić całe zadanie jednemu pracownikowi aby mógł mieć nad nim pełną kontrolę.,0,1
Innowacje odkrycia działania zorientowane na badania: co o tym myślisz? Bez innowacyjnych praktyk firmy mogą pozostać w tyle ...,Myślisz że w twojej firmie brakuje innowacyjnych produktów i przez to traci. Menedżerowie ustalają więc samodzielnie listę priorytetów firmy przeznaczając budżet na badania innowacje i konkurencyjność np. zatrudniają do tego nowe osoby.,Myślisz że w twojej firmie brakuje innowacyjnych produktów i przez to firma traci. Może menedżerowie powinni przydzielić kilku pracownikom oprócz normalnych zadań także dodatkowe zadanie oceny tego problemu.,Myślisz że w twojej firmie brakuje innowacyjnych produktów i przez to firma traci. Może pracownicy mogą zorganizować hackathon comiesięczną praktykę sprawdzania co robią konkurenci i jakie innowacje są na rynku.,0,2
Złościsz się gdy ktoś prosi cię o zrobienie czegoś czego wyraźnie nie jesteś w stanie zrobić. Identyfikacje wizualne prezentacje to bardzo ważne narzędzia ale ludzie często myślą że są „łatwe do wykonania”. Pewnego dnia twój PM prosi Cię o wykonanie prezentacji na temat oferty którą ma zamiar zaprezentować nowemu klientowi...,Nie jesteś grafikiem. Firma potrzebuje nowej atrakcyjnej prezentacji oferty ale zdecydowanie lepiej wydać trochę pieniędzy na usługi zewnętrzne i zlecić to grafikowi: produkt będzie wielokrotnego użytku dobrze dopracowany.,Nie jesteś grafikiem. Jednak twój przełożony każe Ci opracować coś „prostego” dla firmy nie ma potrzeby inwestowania w to dużo czasu.,Nie jesteś grafikiem. Firma potrzebuje nowej atrakcyjnej prezentacji oferty. I prawdopodobnie kolejnych w przyszłości jak również grafik. Twoim zdaniem nadszedł czas aby zatrudnić kogoś kto będzie się tym zajmował. To w końcu ciągła potrzeba.,0,1
Jesteś dyrektorem firmy zlokalizowanej w małym miasteczku. Firma oferuje usługi noclegowe w domach wiejskich. Branża odczuła negatywne skutki COVID-19. Jesteś w swoim biurze i zastanawiasz się co możesz zrobić aby uratować swój biznes. Co zrobisz?,Potrafię wykorzystać mocne strony mojej firmy. Ponieważ domy wiejskie znajdują się na wsi mogę promować je jako sposób na dystans społeczny. Mogę też proponować niewielką zniżkę mieszkańcom pobliskich miejscowości i zaoferować test na COVID-19.,Mogę zaoferować 40% zniżkę wszystkim osobom które mieszkają w wiejskich domach mojej firmy w ten sposób skłonię wiele osób do zapłacenia za pobyt. Ponadto mogę zaoferować więcej atrakcyjnych zajęć aby przyciągnąć więcej gości.,Najlepiej by było na jakiś czas zamknąć biznes aby nie ponosić kosztów utrzymania bo w takich okolicznościach nie będzie mowy o wielu gościach. Być może mogę zapewnić środki bezpieczeństwa związane z COVID-19 przez kilka miesięcy testując gości pod kątem COVID-19 aby czuli się bezpiecznie.,0,2
Pracujesz w dziale marketingu firmy zajmującej się patentowaniem technologii związanych z bezpieczeństwem i informacją w rolnictwie. Twój dział przygotowuje nowy plan marketingowy na najbliższe lata i jesteś proszony o pomysły jak najlepiej wypromować produkty i usługi firmy aby zwiększyć sprzedaż. Co zaproponujesz?,Zbadać nadchodzące targi i wystawy produktów techniki rolniczej na poziomie lokalnym krajowym i międzynarodowym oraz zorganizować na nich stoiska firmy aby zaprezentować produkty i nawiązać kontakty z zainteresowanymi grupami i potencjalnymi klientami.,Stworzyć ulotki informacyjne o produktach i rozdać je rolnikom w okolicy aby zwiększyć świadomość na temat firmy. Poprosić klientów aby polecali firmę innym rolnikom jeśli są zadowoleni z produktów i usług.,Nagrać spot wideo i spot radiowy oraz skontakowaćj się ze stacją telewizyjną i radiową aby spot pojawiał się kilka razy dziennie w odpowiednim przedziale czasowym nawet jeśli ma wysoki koszt.,0,1
Czytasz w czasopiśmie rolniczym artykuł o firmie która zaprojektowała system segregacji odpadów organicznych i przekształcania ich w wysokiej jakości nawóz w sposób przyjazny dla środowiska. Myślisz o korzyściach jakie gospodarka o obiegu zamkniętym może przynieść Twojej firmie. Jakie są te korzyści?,Zmniejszony zakup surowców oszczędność kosztów zwiększona wydajność procesu.,Zwiększona sprzedaż odpady i wydajność procesów.,Zmniejszenie zużycia energii a co za tym idzie obniżenie rachunków za prąd i wodę.,0,2
Twoja firma chce stworzyć aplikację która pozwoli rolnikom gromadzić i zarządzać informacjami o inwentarzu. W tym celu najpierw przeprowadzasz analizę ograniczeń środowiska wiejskiego i grupy docelowej. Jakie są te ograniczenia?,Mniej użytkowników technologii niż w mieście niewielkie wsparcie instytucjonalne i słabe łącza internetowe.,Niedobór żywego inwentarza brak miejsca dla zwierząt i niewielkie wsparcie instytucjonalne.,Mała wiedza na temat hodowli zwierząt i jej procesów brak narzędzi i słabe łącze internetowe.,0,2
Myślisz o założeniu firmy. W trakcie badań nad interesującymi branżami odkrywasz przedsiębiorczość społeczną. Chcesz wiedzieć więcej i kontynuujesz badania. Czym jest przedsiębiorczość społeczna?,Przedsiębiorczość społeczna ma miejsce wtedy gdy ostatecznym celem nie jest maksymalizacja zysku ekonomicznego ale tworzenie wartości dla społeczeństwa.,Przedsiębiorczość społeczna to rodzaj biznesu który jest szczególnie ukierunkowany na zwiększanie sieci kontaktów w społeczeństwie.,Przedsiębiorczość społeczna ma miejsce wtedy gdy ostatecznym celem jest uzyskanie maksymalnych korzyści ekonomicznych przy jednoczesnym tworzeniu wartości dla społeczeństwa.,0,2
Blokada związana z COVID-19 zmusiła twój hotel do zamknięcia a teraz przy ponownym otwarciu czujesz potrzebę zastosowania nowych bezpieczniejszych środków w procedurach meldunkowych. Jakie rozwiązania przychodzą Ci na myśl?,Zameldowanie i wymeldowanie odbywa się zwykle w recepcji hotelu jako fundamentalny element zarządzania hotelem. Jednak niejednokrotnie standardowe procedury powodują opóźnienia i długie kolejki. Rozważasz wprowadzenie zameldowania online w twoim hotelu.,Stosujesz się do wytycznych dotyczących bezpieczeństwa wzmacniasz środki zapobiegawcze ale nie masz ochoty pozbywać się niektórych czasochłonnych procedur takich jak odprawa osobista.,Kontynuujesz tradycyjne formy meldunku ponieważ uważasz je za bezpieczne pod względem ochrony danych osobowych.,0,2
Razem z przyjacielem myślisz o założeniu firmy. Dobrze znacie się na obsłudze komputera ale macie niewielki budżet na początek i myślicie o założeniu firmy technologicznej która zajmie się projektowaniem i rozwijaniem stron internetowych. Jakie są zalety start-upu technologicznego?,Inwestycje początkowe są mniejsze ponieważ nie są potrzebne fizyczne pomieszczenia drogie maszyny ani surowce a można współpracować z klientami z całego świata.,Przede wszystkim możesz pozyskiwać wielu klientów z całego świata choć koszty założenia firmy będą bardzo wysokie.,Główną zaletą start-upu technologicznego jest brak ryzyka dla przedsiębiorcy.,0,2
Masz talent do robienia zdjęć i zastanawiasz się nad innowacją która pozwoli wykorzystać twoją pasję do stworzenia nowego produktu. Co robisz?,Zastanawiasz się jak połączyć swoją pasję do fotografii ze światem cyfrowym do stworzenia wspaniałego projektu przedsiębiorczego.,Oznaczasz wszystkie swoje najlepsze zdjęcia i przyklejasz do ściany swojego miasta jako promocję marketingową swojego talentu.,Zachowujesz swój talent dla siebie. Po prostu dzielisz się swoimi zdjęciami z rodziną i przyjaciółmi.,0,1
Masz talent do języków i bardzo lubisz grać i uczyć się nowych języków. Jak możesz połączyć te pasje?,Skupiasz się na dzieciach i rozważasz zabawkę za pomocą której dzieci mogą się uczyć nowych słówek w trakcie zabawy.,Tworzysz ulotki informacyjne promujące twoje usługi nauki języków i rozprowadzasz je do świetlic domów kultury kół twórczych dla dzieci.,Nadal grasz w gry i uczysz się języków w tradycyjny sposób.,0,2
Jesteś psychologiem i w trakcie blokad z powodu Covid-19 twoja klinika została zamknięta ale twoi pacjenci potrzebują pomocy i terapii. Jakie rozwiązania proponujesz?,Wykazujesz się odpornością i zastanawiasz się nad nowym sposobem wspierania swoich pacjentów poprzez poradnictwo internetowe. Dzięki czatowi na żywo możesz łatwo i prosto komunikować się z pacjentem za pomocą wiadomości tekstowych nawet podczas połączenia wideo z innym pacjentem.,Wysyłasz maile do wszystkich pacjentów z zapewnieniem że wszystko będzie dobrze i że wkrótce będziecie mogli kontynuować terapię twarzą w twarz.,Po prostu zaczekaj aż pandemia się skończy aby ponownie otworzyć swoją klinikę.,0,1
